date,bitcoin,bitcoin_unscaled,bitcoin_monthly,scale
2015-01-01,1.5,50,3.0,0.03
2015-01-02,1.44,48,3.0,0.03
2015-01-03,1.56,52,3.0,0.03
2015-01-04,1.95,65,3.0,0.03
2015-01-05,2.2199999999999998,74,3.0,0.03
2015-01-06,2.04,68,3.0,0.03
2015-01-07,1.6199999999999999,54,3.0,0.03
2015-01-08,1.92,64,3.0,0.03
2015-01-09,1.7999999999999998,60,3.0,0.03
2015-01-10,1.74,58,3.0,0.03
2015-01-11,1.5899999999999999,53,3.0,0.03
2015-01-12,1.6199999999999999,54,3.0,0.03
2015-01-13,1.77,59,3.0,0.03
2015-01-14,3.0,100,3.0,0.03
2015-01-15,2.79,93,3.0,0.03
2015-01-16,2.28,76,3.0,0.03
2015-01-17,1.8599999999999999,62,3.0,0.03
2015-01-18,1.65,55,3.0,0.03
2015-01-19,1.56,52,3.0,0.03
2015-01-20,1.56,52,3.0,0.03
2015-01-21,1.68,56,3.0,0.03
2015-01-22,1.74,58,3.0,0.03
2015-01-23,1.68,56,3.0,0.03
2015-01-24,1.74,58,3.0,0.03
2015-01-25,1.5,50,3.0,0.03
2015-01-26,2.76,92,3.0,0.03
2015-01-27,2.13,71,3.0,0.03
2015-01-28,1.95,65,3.0,0.03
2015-01-29,1.71,57,3.0,0.03
2015-01-30,1.5899999999999999,53,3.0,0.03
2015-01-31,1.41,47,3.0,0.03
2015-02-01,1.2,40,3.0,0.03
2015-02-02,0.84,28,3.0,0.03
2015-02-03,1.1099999999999999,37,3.0,0.03
2015-02-04,1.08,36,3.0,0.03
2015-02-05,1.14,38,3.0,0.03
2015-02-06,1.26,42,3.0,0.03
2015-02-07,1.7999999999999998,60,3.0,0.03
2015-02-08,1.2,40,3.0,0.03
2015-02-09,1.3199999999999998,44,3.0,0.03
2015-02-10,1.26,42,3.0,0.03
2015-02-11,1.1099999999999999,37,3.0,0.03
2015-02-12,1.17,39,3.0,0.03
2015-02-13,1.23,41,3.0,0.03
2015-02-14,1.17,39,3.0,0.03
2015-02-15,0.8999999999999999,30,3.0,0.03
2015-02-16,1.08,36,3.0,0.03
2015-02-17,1.26,42,3.0,0.03
2015-02-18,1.17,39,3.0,0.03
2015-02-19,1.53,51,3.0,0.03
2015-02-20,3.0,100,3.0,0.03
2015-02-21,1.44,48,3.0,0.03
2015-02-22,1.3199999999999998,44,3.0,0.03
2015-02-23,1.17,39,3.0,0.03
2015-02-24,1.17,39,3.0,0.03
2015-02-25,1.1099999999999999,37,3.0,0.03
2015-02-26,0.96,32,3.0,0.03
2015-02-27,1.29,43,3.0,0.03
2015-02-28,0.87,29,3.0,0.03
2015-03-01,1.46,73,2.0,0.02
2015-03-02,1.6600000000000001,83,2.0,0.02
2015-03-03,1.62,81,2.0,0.02
2015-03-04,1.52,76,2.0,0.02
2015-03-05,1.68,84,2.0,0.02
2015-03-06,1.78,89,2.0,0.02
2015-03-07,1.84,92,2.0,0.02
2015-03-08,1.56,78,2.0,0.02
2015-03-09,1.3800000000000001,69,2.0,0.02
2015-03-10,1.94,97,2.0,0.02
2015-03-11,1.7,85,2.0,0.02
2015-03-12,1.48,74,2.0,0.02
2015-03-13,1.68,84,2.0,0.02
2015-03-14,1.36,68,2.0,0.02
2015-03-15,1.46,73,2.0,0.02
2015-03-16,1.68,84,2.0,0.02
2015-03-17,1.62,81,2.0,0.02
2015-03-18,1.62,81,2.0,0.02
2015-03-19,1.8,90,2.0,0.02
2015-03-20,1.7,85,2.0,0.02
2015-03-21,1.18,59,2.0,0.02
2015-03-22,1.78,89,2.0,0.02
2015-03-23,1.44,72,2.0,0.02
2015-03-24,1.6600000000000001,83,2.0,0.02
2015-03-25,1.7,85,2.0,0.02
2015-03-26,1.44,72,2.0,0.02
2015-03-27,1.48,74,2.0,0.02
2015-03-28,1.16,58,2.0,0.02
2015-03-29,1.26,63,2.0,0.02
2015-03-30,2.0,100,2.0,0.02
2015-03-31,1.8800000000000001,94,2.0,0.02
2015-04-01,1.98,99,2.0,0.02
2015-04-02,1.8,90,2.0,0.02
2015-04-03,1.56,78,2.0,0.02
2015-04-04,1.6400000000000001,82,2.0,0.02
2015-04-05,1.46,73,2.0,0.02
2015-04-06,2.0,100,2.0,0.02
2015-04-07,1.72,86,2.0,0.02
2015-04-08,1.92,96,2.0,0.02
2015-04-09,1.76,88,2.0,0.02
2015-04-10,1.7,85,2.0,0.02
2015-04-11,1.34,67,2.0,0.02
2015-04-12,1.56,78,2.0,0.02
2015-04-13,1.86,93,2.0,0.02
2015-04-14,1.8,90,2.0,0.02
2015-04-15,1.6,80,2.0,0.02
2015-04-16,1.6,80,2.0,0.02
2015-04-17,1.44,72,2.0,0.02
2015-04-18,1.3,65,2.0,0.02
2015-04-19,1.6400000000000001,82,2.0,0.02
2015-04-20,1.48,74,2.0,0.02
2015-04-21,1.6,80,2.0,0.02
2015-04-22,1.72,86,2.0,0.02
2015-04-23,1.6,80,2.0,0.02
2015-04-24,1.3800000000000001,69,2.0,0.02
2015-04-25,1.28,64,2.0,0.02
2015-04-26,1.54,77,2.0,0.02
2015-04-27,1.62,81,2.0,0.02
2015-04-28,1.56,78,2.0,0.02
2015-04-29,1.54,77,2.0,0.02
2015-04-30,1.98,99,2.0,0.02
2015-05-01,1.28,64,2.0,0.02
2015-05-02,1.24,62,2.0,0.02
2015-05-03,1.2,60,2.0,0.02
2015-05-04,0.9400000000000001,47,2.0,0.02
2015-05-05,1.32,66,2.0,0.02
2015-05-06,1.1400000000000001,57,2.0,0.02
2015-05-07,1.1400000000000001,57,2.0,0.02
2015-05-08,1.22,61,2.0,0.02
2015-05-09,1.0,50,2.0,0.02
2015-05-10,1.04,52,2.0,0.02
2015-05-11,1.2,60,2.0,0.02
2015-05-12,1.2,60,2.0,0.02
2015-05-13,1.32,66,2.0,0.02
2015-05-14,2.0,100,2.0,0.02
2015-05-15,1.34,67,2.0,0.02
2015-05-16,1.1,55,2.0,0.02
2015-05-17,1.16,58,2.0,0.02
2015-05-18,1.02,51,2.0,0.02
2015-05-19,1.24,62,2.0,0.02
2015-05-20,1.48,74,2.0,0.02
2015-05-21,1.2,60,2.0,0.02
2015-05-22,1.1,55,2.0,0.02
2015-05-23,1.24,62,2.0,0.02
2015-05-24,1.06,53,2.0,0.02
2015-05-25,1.26,63,2.0,0.02
2015-05-26,1.12,56,2.0,0.02
2015-05-27,1.22,61,2.0,0.02
2015-05-28,1.16,58,2.0,0.02
2015-05-29,1.32,66,2.0,0.02
2015-05-30,1.68,84,2.0,0.02
2015-05-31,1.48,74,2.0,0.02
2015-06-01,0.54,27,2.0,0.02
2015-06-02,0.46,23,2.0,0.02
2015-06-03,0.62,31,2.0,0.02
2015-06-04,0.52,26,2.0,0.02
2015-06-05,0.5,25,2.0,0.02
2015-06-06,0.52,26,2.0,0.02
2015-06-07,0.5,25,2.0,0.02
2015-06-08,0.5,25,2.0,0.02
2015-06-09,0.46,23,2.0,0.02
2015-06-10,0.42,21,2.0,0.02
2015-06-11,0.5,25,2.0,0.02
2015-06-12,0.54,27,2.0,0.02
2015-06-13,0.34,17,2.0,0.02
2015-06-14,0.36,18,2.0,0.02
2015-06-15,0.46,23,2.0,0.02
2015-06-16,0.5,25,2.0,0.02
2015-06-17,0.6,30,2.0,0.02
2015-06-18,2.0,100,2.0,0.02
2015-06-19,0.8,40,2.0,0.02
2015-06-20,0.74,37,2.0,0.02
2015-06-21,0.56,28,2.0,0.02
2015-06-22,0.56,28,2.0,0.02
2015-06-23,0.56,28,2.0,0.02
2015-06-24,0.6,30,2.0,0.02
2015-06-25,0.74,37,2.0,0.02
2015-06-26,0.5,25,2.0,0.02
2015-06-27,0.66,33,2.0,0.02
2015-06-28,0.66,33,2.0,0.02
2015-06-29,0.72,36,2.0,0.02
2015-06-30,0.8,40,2.0,0.02
2015-07-01,1.54,77,2.0,0.02
2015-07-02,1.54,77,2.0,0.02
2015-07-03,1.34,67,2.0,0.02
2015-07-04,1.6600000000000001,83,2.0,0.02
2015-07-05,1.3800000000000001,69,2.0,0.02
2015-07-06,1.6,80,2.0,0.02
2015-07-07,1.56,78,2.0,0.02
2015-07-08,1.8,90,2.0,0.02
2015-07-09,1.44,72,2.0,0.02
2015-07-10,1.9000000000000001,95,2.0,0.02
2015-07-11,1.32,66,2.0,0.02
2015-07-12,2.0,100,2.0,0.02
2015-07-13,1.6400000000000001,82,2.0,0.02
2015-07-14,1.52,76,2.0,0.02
2015-07-15,1.48,74,2.0,0.02
2015-07-16,1.4000000000000001,70,2.0,0.02
2015-07-17,1.32,66,2.0,0.02
2015-07-18,1.36,68,2.0,0.02
2015-07-19,1.32,66,2.0,0.02
2015-07-20,1.22,61,2.0,0.02
2015-07-21,1.16,58,2.0,0.02
2015-07-22,1.36,68,2.0,0.02
2015-07-23,1.32,66,2.0,0.02
2015-07-24,1.32,66,2.0,0.02
2015-07-25,1.3,65,2.0,0.02
2015-07-26,1.36,68,2.0,0.02
2015-07-27,1.52,76,2.0,0.02
2015-07-28,1.56,78,2.0,0.02
2015-07-29,1.2,60,2.0,0.02
2015-07-30,1.22,61,2.0,0.02
2015-07-31,1.2,60,2.0,0.02
2015-08-01,2.0,100,2.0,0.02
2015-08-02,1.56,78,2.0,0.02
2015-08-03,1.48,74,2.0,0.02
2015-08-04,1.54,77,2.0,0.02
2015-08-05,1.3,65,2.0,0.02
2015-08-06,1.2,60,2.0,0.02
2015-08-07,1.02,51,2.0,0.02
2015-08-08,1.3,65,2.0,0.02
2015-08-09,1.34,67,2.0,0.02
2015-08-10,1.1400000000000001,57,2.0,0.02
2015-08-11,1.32,66,2.0,0.02
2015-08-12,1.28,64,2.0,0.02
2015-08-13,1.28,64,2.0,0.02
2015-08-14,1.08,54,2.0,0.02
2015-08-15,1.2,60,2.0,0.02
2015-08-16,1.32,66,2.0,0.02
2015-08-17,1.18,59,2.0,0.02
2015-08-18,1.4000000000000001,70,2.0,0.02
2015-08-19,1.72,86,2.0,0.02
2015-08-20,1.48,74,2.0,0.02
2015-08-21,1.36,68,2.0,0.02
2015-08-22,1.26,63,2.0,0.02
2015-08-23,1.4000000000000001,70,2.0,0.02
2015-08-24,1.6600000000000001,83,2.0,0.02
2015-08-25,1.54,77,2.0,0.02
2015-08-26,1.42,71,2.0,0.02
2015-08-27,1.24,62,2.0,0.02
2015-08-28,1.16,58,2.0,0.02
2015-08-29,1.22,61,2.0,0.02
2015-08-30,1.22,61,2.0,0.02
